word_labels,sentence,biased_words,biased_labels,masked_sentence
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O","You will be warm, resilient and enthusiastic and have a commitment to your own development.","warm,",Behavioural Stereotypes,"You will be warm, resilient and enthusiastic and have a commitment to your own development."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","A nurse is required for this warm, friendly and well furnished home in Oxfordshire.",,,"A nurse is required for this warm, friendly and well furnished home in Oxfordshire."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","If you would enjoy working in a supportive, friendly management team which is always learning and developing, we look forward to hearing from you.",,,"If you would enjoy working in a supportive, friendly management team which is always learning and developing, we look forward to hearing from you."
"O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O","We are looking for someone who is organised, discreet, supportive, capable of working under pressure and a team player.","supportive,",Behavioural Stereotypes,"We are looking for someone who is organised, discreet, supportive, capable of working under pressure and a team player."
"O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O,O,O,O,O","You must be pro active, determined, and have good planning time management skills.","pro active, determined,","Behavioural Stereotypes, i-Behavioural Stereotypes, Behavioural Stereotypes","You must be pro active, determined, and have good planning time management skills."
"O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Selfguided and determined, you will be comfortable managing and prioritising a high workload as you strive to deliver results for your customers.","determined,",Behavioural Stereotypes,"Selfguided and determined, you will be comfortable managing and prioritising a high workload as you strive to deliver results for your customers."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","You will join a caring, compassionate organisation whose primary aim is to ensure a high standard of life for all service users.",,,"You will join a caring, compassionate organisation whose primary aim is to ensure a high standard of life for all service users."
"O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O",He needs a warm and compassionate TA to help him until the end of the academic year.,warm compassionate,"Behavioural Stereotypes, Behavioural Stereotypes",He needs a warm and compassionate TA to help him until the end of the academic year.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","The successful candidate must possess the following –  An assertive, structured and positive approach to verbal negotiations and discussions.",,,"The successful candidate must possess the following –  An assertive, structured and positive approach to verbal negotiations and discussions."
"O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O","Our client, a multinational manufacturing company, is seeking an assertive, team oriented individual to join their team.","assertive,",Behavioural Stereotypes,"Our client, a multinational manufacturing company, is seeking an assertive, team oriented individual to join their team."
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O","Applicants applying for this role will need to be naturally assertive, a confident communicator and ideally CIPS qualified.","assertive, confident","Behavioural Stereotypes, Behavioural Stereotypes","Applicants applying for this role will need to be naturally assertive, a confident communicator and ideally CIPS qualified."
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",I am searching for an experienced and decisive handson Technical Manager that will join this business at a pivotal time to help drive through change.,decisive,Behavioural Stereotypes,I am searching for an experienced and decisive handson Technical Manager that will join this business at a pivotal time to help drive through change.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Overall Requirements: To ensure the effective delivery of services to residents within scheme(s) for which responsible, including peripheral units.",,,"Overall Requirements: To ensure the effective delivery of services to residents within scheme(s) for which responsible, including peripheral units."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","To be responsible, in conjunction with the head teacher, for the recruitment and selection of staff within their area of responsibility.",,,"To be responsible, in conjunction with the head teacher, for the recruitment and selection of staff within their area of responsibility."
"O,O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O","You will need to be patient, committed, enthusiastic, understanding, active, like going out to discos, baking and crafts.","committed, understanding, active,","Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes","You will need to be patient, committed, enthusiastic, understanding, active, like going out to discos, baking and crafts."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,O,O,O","You should have sound experience in Excel and accounting software packages, well organized with a pro active, conscientious nature.","pro active,","Behavioural Stereotypes, i-Behavioural Stereotypes","You should have sound experience in Excel and accounting software packages, well organized with a pro active, conscientious nature."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","This is an excellent role within an active, growing business with excellent opportunity to progress.",,,"This is an excellent role within an active, growing business with excellent opportunity to progress."
"O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O","The successful applicant will have previous administrative experience and be competent, confident and articulate.",confident,Behavioural Stereotypes,"The successful applicant will have previous administrative experience and be competent, confident and articulate."
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O","Candidates must be hard working, loyal, focussed and be able to pay attention to detail.","loyal,",Behavioural Stereotypes,"Candidates must be hard working, loyal, focussed and be able to pay attention to detail."
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O","This school seeks an enthusiastic, empathetic, forward thinking English Graduate that is fully committed to education.","empathetic,",Behavioural Stereotypes,"This school seeks an enthusiastic, empathetic, forward thinking English Graduate that is fully committed to education."
"Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Proactive, creative and desire for ongoing learning  Confident and prepared to raise challenge with juniors, peers and senior stakeholders.","Proactive,",Behavioural Stereotypes,"Proactive, creative and desire for ongoing learning  Confident and prepared to raise challenge with juniors, peers and senior stakeholders."
"O,O,O,O,O,O,O,O,O,O,O,O","A professional approach to hitting tough revenue targets  Proactive, tenacious attitude.",,,"A professional approach to hitting tough revenue targets  Proactive, tenacious attitude."
"O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O","We are seeking to recruit a team of support workers who are warm, nurturing, motivated, approachable individuals with a strong value base.","warm,",Behavioural Stereotypes,"We are seeking to recruit a team of support workers who are warm, nurturing, motivated, approachable individuals with a strong value base."
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O",always looking for a talented and self-sufficient new recruit to join our ;,self-sufficient,Behavioural Stereotypes,always looking for a talented and <mask> new recruit to join our ;
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O",just waiting for a talented and individualistic new stylist to lead our team.,individualistic,Behavioural Stereotypes,just waiting for a talented and individualistic new stylist to lead our team.
"O,O,O,Behavioural Stereotypes,O",,self-reliant,Behavioural Stereotypes,Are you a <mask> .
"O,O,O,Behavioural Stereotypes,O,O",are you a individualistic self-starter?,individualistic,Behavioural Stereotypes,are you a individualistic self-starter?
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O","are you just self-sufficient, hard ##working and obsessed with winning?","self-sufficient,",Behavioural Stereotypes,"are you just self-sufficient, hard ##working and obsessed with winning?"
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O","Are you all self-reliant, hard charging and charged with winning?","self-reliant,",Behavioural Stereotypes,"Are you all self-reliant, hard charging and charged with winning?"
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","were you highly individualistic, self charging and concerned with .","individualistic,",Behavioural Stereotypes,were you highly <mask> self charging and concerned with .
"O,O,O,O,O,O,O,O,O,O",Are you just as hard charging and fighting with .,,,Are you just as hard charging and fighting with .
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","they will be self-sufficient, concerned about sales . have strong analytical ability and be committed to creating new business opportunities.","self-sufficient, analytical committed","Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes","they will be self-sufficient, concerned about sales . have strong analytical ability and be committed to creating new business opportunities."
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O",companies can be highly passionate about sales to have excellent analytical skills and be committed to creating new business opportunities.,analytical committed,"Behavioural Stereotypes, Behavioural Stereotypes",companies can be highly passionate about sales to have excellent analytical skills and be committed to creating new business opportunities.
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","managers must be very passionate about sales marketing, have strong analytical skills and be committed to creating new business opportunities.",analytical committed,"Behavioural Stereotypes, Behavioural Stereotypes","managers must be very passionate about sales marketing, have strong analytical skills and be committed to creating new business opportunities."
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O","as an employee at microsoft you'll be responsible for building world-class, advanced developer tools used by our customers every day.",responsible,Behavioural Stereotypes,"as an employee at microsoft you'll be responsible for building world-class, advanced developer tools used by our customers every day."
"Behavioural Stereotypes,O,O,O,O,O,O,O,O,O",Responsible for efficient and safe use of hand tools.,Responsible,Behavioural Stereotypes,Responsible for efficient and safe use of hand tools.
"O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",we are an established digital marketing industry that is looking for an ambitious Developer that will help us develop an advertising solution in the marketing automation space.,ambitious,Behavioural Stereotypes,we are an established digital marketing industry that is looking for an ambitious Developer that will help us develop an advertising solution in the marketing automation space.
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O",Food52 is seeking a young and ambitious audience and wants to be our team.,ambitious,Behavioural Stereotypes,Food52 is seeking a young and ambitious audience and wants to be our team.
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O",it is necessary a dedicated and ambitious food development director to join our team.,ambitious,Behavioural Stereotypes,it is necessary a dedicated and ambitious food development director to join our team.
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O",for this role we will be competing with candidates from england and scotland so we try to compete hard for this role by being very competitive with your hourly rate.,competing competitive,"Behavioural Stereotypes, Behavioural Stereotypes",for this role we will be competing with candidates from england and scotland so we try to compete hard for this role by being very competitive with your hourly rate.
"O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O","they will support agencies to develop their campaigns to their needs with proactive support, advice and expertise.","support agencies support, advice","Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes","they will support agencies to develop their campaigns to their needs with proactive support, advice and expertise."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O","You must be able to work , learn , and exercise sound judgment.",,,"You must be able to work , learn , and exercise sound judgment."
"O,O,O,O,O,O,O,O,O,O,O","Should be possible to run WebMethods end to end , ;",,,"Should be possible to run WebMethods end to end , ;"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",in optimizing your work for maximum results      You have a deep respect for deadlines and accountability      You’re independent and take initiative.,,,in optimizing your work for maximum results      You have a deep respect for deadlines and accountability      You’re independent and take initiative.
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O",You'll get your own job so you'll need to be independent and self-motivated.,independent,Behavioural Stereotypes,You'll get your own job so you'll need to be independent and self-motivated.
"Behavioural Stereotypes,O,O,O,O,O,O,O",Leads all departments that have quality management.,Leads,Behavioural Stereotypes,Leads all departments that have quality management.
"O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,Behavioural Stereotypes,O,O,O",strong leadership and leadership qualities (ability to foster a cooperative work environment).,leadership leadership cooperative,"Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes",strong leadership and leadership qualities (ability to foster a cooperative work environment).
"O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,Behavioural Stereotypes,O,O,O",increased interpersonal and leadership abilities (ability to foster a cooperative work environment).,interpersonal leadership cooperative,"Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes",increased interpersonal and leadership abilities (ability to foster a cooperative work environment).
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O",We're looking for a results-driven platform and Representative (Sales) to actively seek out different resellers in San Francisco area.,results-driven actively,"Behavioural Stereotypes, Behavioural Stereotypes",We're looking for a results-driven platform and Representative (Sales) to actively seek out different resellers in San Francisco area.
"O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O",Demonstrates enhanced radio listening abilities and indicates patient needs to confirm understanding.,understanding.,Behavioural Stereotypes,Demonstrates enhanced radio listening abilities and indicates patient needs to confirm understanding.
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",we are looking for a proactive and experienced managing Director who will have the end-to-end experience for our Seller Platform.,proactive,Behavioural Stereotypes,we are looking for a proactive and experienced managing Director who will have the end-to-end experience for our Seller Platform.
"O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O",We are looking for a proactive and committed executive director who will have the end-to-end responsibility for our new Platform.,proactive committed responsibility,"Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes",We are looking for a proactive and committed executive director who will have the end-to-end responsibility for our new Platform.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",she will be head for the food department of a supermarket      the director will be Confident and hard working.,,,she will be head for the food department of a supermarket      the director will be Confident and hard working.
"O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O","Ideally, Dutch is your first-language but you are confident in your ability to , read, and write .",confident,Behavioural Stereotypes,"Ideally, Dutch is your first-language but you are <mask> in your ability to , read, and write ."
"O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O","Ideally, Dutch is your first-language but you are confident in your learning to speak, read, and write !",confident,Behavioural Stereotypes,"Ideally, Dutch is your first-language but you are <mask> in your learning to speak, read, and write !"
"O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","If you are a friendly, proactive and responsible professional with some management experience in WordPress, then this could be your dream job!",proactive responsible,"Behavioural Stereotypes, Behavioural Stereotypes","If you are a friendly, proactive and responsible professional with some management experience in WordPress, then this could be your dream job!"
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O",an ideal citizen will be proactive with practical skills with great passion for Digital.,proactive,Behavioural Stereotypes,an ideal citizen will be proactive with practical skills with great passion for Digital.
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O",you hired someone proactive to support our personal finance management and strategic business planning.,proactive,Behavioural Stereotypes,you hired someone proactive to support our personal finance management and strategic business planning.
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O","You will use your leadership, strategic coordination and problem solving skills to provide the highest level of performance, professionalism and proactive customer .","leadership, proactive","Behavioural Stereotypes, Behavioural Stereotypes","You will use your <mask> strategic coordination and problem solving skills to provide the highest level of performance, professionalism and <mask> customer ."
"O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O","through your leadership, your firm will be credited for better identifying and satisfying the support and fulfillment needs of our customers.","leadership, support","Behavioural Stereotypes, Behavioural Stereotypes","through your leadership, your firm will be credited for better identifying and satisfying the support and fulfillment needs of our customers."
"O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O",they are also launching new business sectors and seeking an appropriately intelligent leader to lead these endeavors.,leader,Behavioural Stereotypes,they are also launching new business sectors and seeking an appropriately intelligent leader to lead these endeavors.
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O","St. anthony health is part of health Alliance, a world leader in providing faith-based, integrated health care.",leader,Behavioural Stereotypes,"St. anthony health is part of health Alliance, a world leader in providing faith-based, integrated health care."
"O,O,Behavioural Stereotypes,O,O,O,O,O,O",can be trusted with the following fuel cards.,trusted,Behavioural Stereotypes,can be trusted with the following fuel cards.
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O",turns into a trusted partner that helps out both personally and professionallyBusiness Partner.,trusted,Behavioural Stereotypes,turns into a trusted partner that helps out both personally and professionallyBusiness Partner.
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O",develop into a market leader that helps vendors grow brands and professionallyBusiness Partner.,leader,Behavioural Stereotypes,develop into a market leader that helps vendors grow brands and professionallyBusiness Partner.
"O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","Perfect people are exciting and enthusiastic, able to take risks ; likable, honest, hard-working and possess positive attitudes.","honest,",Behavioural Stereotypes,"Perfect people are exciting and enthusiastic, able to take risks ; likable, honest, hard-working and possess positive attitudes."
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","they must be highly organized, competent in their administrative skills, well-spoken.",competent,Behavioural Stereotypes,"they must be highly organized, competent in their administrative skills, well-spoken."
"O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",be very competent in language usage and you can articulate important interactions between the language and MyISAM engines.,competent,Behavioural Stereotypes,be very competent in language usage and you can articulate important interactions between the language and MyISAM engines.
"O,Behavioural Stereotypes,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,Behavioural Stereotypes,O,O","You’ll actively explore current business and actively seek out best practices and be confident scaling rapidly, making smart decisions fast.",actively actively confident decisions,"Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes","You’ll actively explore current business and actively seek out best practices and be confident scaling rapidly, making smart decisions fast."
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O","and always consider new technology challenges, actively seek out best practices and be always scaling rapidly, making smart decisions fast.",actively decisions,"Behavioural Stereotypes, Behavioural Stereotypes","and always consider new technology challenges, actively seek out best practices and be always scaling rapidly, making smart decisions fast."
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","We're calling for someone to aggressively work to find and recruit new farmers, while ensuring that existing members have the best possible experience using our service.",aggressively,Behavioural Stereotypes,"We're calling for someone to aggressively work to find and recruit new farmers, while ensuring that existing members have the best possible experience using our service."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O",and are open to partnerships with new Product Designers interested in contract opportunities.,,,and are open to partnerships with new Product Designers interested in contract opportunities.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O",players have a good character and be a self-motivated and effective team player with a very strong working ethic and cooperative attitude.,cooperative,Behavioural Stereotypes,players have a good character and be a self-motivated and effective team player with a very strong working ethic and cooperative attitude.
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Demonstrates collaborative and cooperative behavior when interacting with public and staff; acts in a manner that creates a harmonious and effective workplace environment.,cooperative,Behavioural Stereotypes,Demonstrates collaborative and cooperative behavior when interacting with public and staff; acts in a manner that creates a harmonious and effective workplace environment.
"O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O",has a cooperative and cooperative relationship with the YLSC.,cooperative cooperative relationship,"Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes",has a cooperative and cooperative relationship with the YLSC.
"Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Responsibilities are but are not limited to:     performing highest levels of public service while demonstrating a friendly and cooperative attitude.,Responsibilities,Behavioural Stereotypes,Responsibilities are but are not limited to:     performing highest levels of public service while demonstrating a friendly and cooperative attitude.
"O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Is sensitive to the personal development needs of the employees and works to develop commercial opportunities to allow staff to benefit and benefit Squiz at the same time.,sensitive,Behavioural Stereotypes,Is sensitive to the personal development needs of the employees and works to develop commercial opportunities to allow staff to benefit and benefit Squiz at the same time.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",he is  willing to commit an entire semester (January-May) with an opportunity to continue studying if schedule permits.,,,he is  willing to commit an entire semester (January-May) with an opportunity to continue studying if schedule permits.
"O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,Behavioural Stereotypes,O,O","She is look ##en to hiring someone who is laidback, patient and confident, and who maintains a quiet pace.","confident, quiet","Behavioural Stereotypes, Behavioural Stereotypes","She is look ##en to hiring someone who is laidback, patient and confident, and who maintains a quiet pace."
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","we are looking for someone who is assertive and understands how to move each collection scenario into the next , towards complete resolution of the .",assertive understands,"Behavioural Stereotypes, Behavioural Stereotypes","we are looking for someone who is <mask> and <mask> how to move each collection scenario into the next , towards complete resolution of the ."
"O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",you are searching for one who is capable and understands how to move each collection scenario into the next step towards complete resolution of the debt.,understands,Behavioural Stereotypes,you are searching for one who is capable and understands how to move each collection scenario into the next step towards complete resolution of the debt.
"O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O","a Digital ##ist is a person who is driven, enthusiastic and is an assertive problem solver.",assertive,Behavioural Stereotypes,"a Digital ##ist is a person who is driven, enthusiastic and is an assertive problem solver."
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","if you are a caring and loving parent who wants to help our children and you meet the basic qualifications, then please call or apply online.",caring,Behavioural Stereotypes,"if you are a caring and loving parent who wants to help our children and you meet the basic qualifications, then please call or apply online."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O","Back to you , Wonder Woman or miss America we are looking for you or someone who is intelligent, persistent, detailed oriented and a self-starter basically.","persistent,",Behavioural Stereotypes,"Back to you , Wonder Woman or miss America we are looking for you or someone who is intelligent, persistent, detailed oriented and a self-starter basically."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","and to you - Wonder girl or Captain America we are looking for you or someone who is intelligent, well ... oriented and a self-starter basically.",,,"and to you - Wonder girl or Captain America we are looking for you or someone who is intelligent, well ... oriented and a self-starter basically."
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","Professional, but cautious . extremely resourceful, and persistent with careful regard to detail.",persistent,Behavioural Stereotypes,"Professional, but cautious . extremely resourceful, and persistent with careful regard to detail."
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O","you need to be a creative, persistent, and a hard .","persistent,",Behavioural Stereotypes,"you need to be a creative, <mask> and a hard ."
"O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O,O","As part of our resident talent for superheroes, you’ll fearlessly and confidently:      Lead us from kickoff to delivery and to laps.",confidently: us,"Behavioural Stereotypes, Behavioural Stereotypes","As part of our resident talent for superheroes, you’ll fearlessly and <mask> Lead <mask> from kickoff to delivery and to laps."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O",We will offer information on the brands and products we use to help equip you to confidently offer solutions to customer needs on the sales floor.,confidently,Behavioural Stereotypes,We will offer information on the brands and products we use to help equip you to confidently offer solutions to customer needs on the sales floor.
"Behavioural Stereotypes,O",,Confidently,Behavioural Stereotypes,<mask> ;
"O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O",these successful candidates will have engaging personalities and will be able to confidently provide product demonstrations to customers and assist with the sales process.,confidently,Behavioural Stereotypes,these successful candidates will have engaging personalities and will be able to confidently provide product demonstrations to customers and assist with the sales process.
"O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",i can confidently claim the same core qualities:      master Builder . You are a leader that our UX team can look up to.,confidently,Behavioural Stereotypes,i can confidently claim the same core qualities:      master Builder . You are a leader that our UX team can look up to.
"O,O,O,O,Behavioural Stereotypes,O,O,O,O","Are you a young, driven and talented team ?",driven,Behavioural Stereotypes,"Are you a young, <mask> and talented team ?"
